entity_id,field_tempstart_value,field_tempend_value
8602,7/3/2009,3/7/2010
8603,10/19/2012,1/20/2013
8604,12/12/2013,3/9/2014
8605,9/10/2013,12/31/2013
8606,3/31/2007,8/19/2007
8607,4/2/2005,7/10/2005
8608,10/1/2005,12/31/2005
8609,5/4/2008,9/1/2008
8610,6/2/2012,9/3/2012
8611,5/19/2007,9/3/2007
8612,6/15/2013,9/15/2013
8614,6/3/2011,8/6/2011
8615,10/3/2008,8/16/2009
8616,3/28/2013,4/11/2013
8617,10/20/2007,2/24/2008
8618,9/17/2006,1/7/2007
8619,5/28/2010,3/26/2011
8620,9/22/2012,3/23/2014
8621,4/20/2006,8/30/2006
8622,1/28/2006,3/26/2006
8623,11/17/2007,3/16/2008
8624,4/28/2012,12/31/2012
8625,4/20/2006,9/10/2006
8626,4/17/2008,9/7/2008
8627,2/9/2007,3/9/2007
8628,3/1/2012,3/20/2012
8629,1/26/2013,5/19/2013
8630,11/20/2004,9/11/2005
8631,4/15/2008,3/15/2009
8632,12/12/2008,2/8/2009
8633,5/5/2007,3/2/2008
8634,10/15/2005,3/26/2006
8635,5/2/2012,6/1/2012
8636,4/8/2006,8/13/2006
8637,2/11/2006,3/4/2007
8638,9/9/2006,2/25/2007
8639,9/9/2011,4/28/2012
8640,7/8/2008,10/12/2008
8641,11/22/2008,7/5/2009
8642,5/4/2013,12/31/2013
8643,2/12/2010,5/9/2010
8644,6/29/2012,2/24/2013
8645,11/4/2006,4/15/2007
8646,6/2/2010,8/15/2010
8647,10/15/2005,1/8/2006
8648,12/21/2008,3/1/2009
8649,10/8/2011,10/15/2011
8650,1/30/2010,10/11/2010
8651,11/19/2005,3/6/2006
8652,10/1/2009,3/14/2010
8653,9/8/2009,1/6/2010
8654,1/29/2011,4/9/2011
8655,5/14/2005,2/26/2006
8656,6/13/2009,1/3/2010
8657,3/19/2011,8/15/2011
8658,6/1/2013,9/1/2013
8659,11/19/2010,10/15/2011
8660,2/16/2013,5/12/2013
8661,4/12/2010,10/31/2010
8662,7/15/2011,4/30/2012
8663,1/1/2007,1/15/2007
8664,5/17/2008,10/13/2008
8665,9/3/2010,3/19/2011
8666,1/1/2005,12/31/2005
8667,11/11/2011,2/26/2012
8668,10/24/2012,2/24/2013
8669,12/19/2012,2/10/2013
8670,12/21/2008,3/1/2009
8671,7/4/2007,7/6/2007
8672,11/9/2013,3/23/2014
8673,10/15/2011,3/31/2012
8674,3/1/2010,4/30/2010
8675,3/30/2013,9/22/2013
8676,6/2/2007,10/21/2007
8677,11/2/2013,2/23/2014
8678,11/16/2013,3/5/2014
